pipeline,sigma_0,p,eta,A,alpha,K,t_K
baseline,0.01,1.8,0.1,1.0,0.5,17.78279410038923,0.003162277660168379
improved,0.003,1.8,0.1,1.0,0.5,80.09371380449181,0.00015588457268119894
