pipeline,seed_idx,k_emp,k_closed,k_emp_minus_closed,t_k_emp,t_k_closed,k_atlas,gamma_at_k_emp
baseline,0,16.89597823743585,17.78279410038923,-0.8868158629533802,0.003502944988555749,0.003162277660168379,17.046111389547473,1.2899623038818653
baseline,1,16.856883951298823,17.78279410038923,-0.9259101490904058,0.003519211806891709,0.003162277660168379,17.04712642878372,0.5198613165805404
baseline,2,17.613160911575456,17.78279410038923,-0.16963318881377276,0.0032234830763043405,0.003162277660168379,17.45674223740219,1.0725161807545
baseline,3,18.737371064097253,17.78279410038923,0.9545769637080248,0.0028482800318608615,0.003162277660168379,18.407277103072687,1.3082910026311798
baseline,4,17.37216751377527,17.78279410038923,-0.410626586613958,0.003313538210484317,0.003162277660168379,17.517680679666103,1.0466432779657655
baseline,5,16.598364878127757,17.78279410038923,-1.1844292222614712,0.003629688749261729,0.003162277660168379,16.606315649070105,0.8523742246812519
baseline,6,17.959029978301626,17.78279410038923,0.17623587791239714,0.003100517944434739,0.003162277660168379,16.456290330937495,1.277275328965262
baseline,7,18.519630360360367,17.78279410038923,0.7368362599711382,0.002915649881404143,0.003162277660168379,18.095919633588927,1.7087600332243222
baseline,8,17.351194956105598,17.78279410038923,-0.43159914428363066,0.0033215532630546936,0.003162277660168379,17.28617486339634,1.3034168905283465
baseline,9,19.17466948472156,17.78279410038923,1.3918753843323302,0.0027198454486244113,0.003162277660168379,18.977556417623386,0.97783614768441
baseline,10,18.629708401721718,17.78279410038923,0.8469143013324896,0.0028812960611840533,0.003162277660168379,18.329767899344535,1.0299530475771397
baseline,11,16.90006961901959,17.78279410038923,-0.8827244813696389,0.0035012491198266175,0.003162277660168379,16.237118420554317,1.2634801416943133
baseline,12,17.913896259505673,17.78279410038923,0.13110215911644474,0.0031161610171011205,0.003162277660168379,17.479745601049085,1.2885301832955345
baseline,13,20.191330618724358,17.78279410038923,2.4085365183351293,0.0024528450825349562,0.003162277660168379,19.822465624557683,2.102801364123282
baseline,14,18.513283910044965,17.78279410038923,0.7304898096557366,0.0029176492240208154,0.003162277660168379,18.190069426208005,1.6179083698858951
baseline,15,17.623158533393493,17.78279410038923,-0.15963556699573545,0.0032198267483613367,0.003162277660168379,17.4534401880221,1.1903300281281883
baseline,16,15.999222946166611,17.78279410038923,-1.7835711542226171,0.003906629448459225,0.003162277660168379,15.9843743188947,1.3715761093486292
baseline,17,18.525569934605183,17.78279410038923,0.7427758342159549,0.0029137805793698172,0.003162277660168379,17.750046521749262,1.7010908575804298
baseline,18,18.870624319081507,17.78279410038923,1.0878302186922788,0.00280819629900137,0.003162277660168379,18.42563738062035,1.287998681610123
baseline,19,18.145946520468208,17.78279410038923,0.3631524200789791,0.003036971712884239,0.003162277660168379,17.218616085454954,1.3633064014905183
baseline,20,18.48048636384798,17.78279410038923,0.6976922634587517,0.0029280143893064916,0.003162277660168379,18.06381416304821,1.5512307467579631
baseline,21,16.35242020898956,17.78279410038923,-1.4303738913996682,0.0037396927519828655,0.003162277660168379,16.068827648888202,1.0271386604603225
baseline,22,16.837455884428774,17.78279410038923,-0.9453382159604544,0.0035273378478260474,0.003162277660168379,17.125718851288546,1.090053801621273
baseline,23,18.25586168973252,17.78279410038923,0.47306758934329096,0.0030005117129567067,0.003162277660168379,17.764244742786005,0.35940902972026206
baseline,24,18.19439082022995,17.78279410038923,0.41159671984071977,0.0030208207899229153,0.003162277660168379,17.538952714239237,1.114786984359016
baseline,25,19.066241533918934,17.78279410038923,1.2834474335297053,0.00275086842954464,0.003162277660168379,18.759726233271312,1.542033795420995
baseline,26,17.797309208529995,17.78279410038923,0.014515108140766841,0.0031571215903591493,0.003162277660168379,17.40908344676334,1.2716485252707876
baseline,27,18.0536920207229,17.78279410038923,0.27089792033367033,0.003068088910649497,0.003162277660168379,17.68895840726941,1.5999282728970474
baseline,28,17.428397866898344,17.78279410038923,-0.3543962334908848,0.003292191342604827,0.003162277660168379,17.552486014575507,1.1699204801373921
baseline,29,18.83474265406852,17.78279410038923,1.051948553679292,0.0028189061601586285,0.003162277660168379,18.37576364212175,1.6950682618424884
baseline,30,19.630639295896408,17.78279410038923,1.8478451955071797,0.0025949626641061053,0.003162277660168379,19.504289872696976,1.222818134049279
baseline,31,18.074442657512865,17.78279410038923,0.29164855712363646,0.0030610482229598977,0.003162277660168379,18.062975219193426,0.6788790975762704
baseline,32,17.43155045115455,17.78279410038923,-0.35124364923467866,0.0032910006313040855,0.003162277660168379,16.78174313320128,1.5361228377340457
baseline,33,17.212347679133533,17.78279410038923,-0.5704464212556957,0.003375357517472032,0.003162277660168379,17.467621157544638,0.9092866371134808
baseline,34,18.13009168566678,17.78279410038923,0.34729758527755195,0.0030422857222802153,0.003162277660168379,17.82091649959671,1.6372753448931863
baseline,35,19.944188669161562,17.78279410038923,2.1613945687723337,0.0025140114552410784,0.003162277660168379,19.886670612025735,1.6507116540480646
baseline,36,17.51887667638102,17.78279410038923,-0.26391742400820917,0.0032582731464879176,0.003162277660168379,17.918863595536443,0.5226670588247821
baseline,37,18.64004298762258,17.78279410038923,0.8572488872333501,0.002878101996980568,0.003162277660168379,18.416323075769427,1.4407855266789802
baseline,38,16.629729048961913,17.78279410038923,-1.1530650514273155,0.003616010255429366,0.003162277660168379,16.868016889365233,1.2281856571882752
baseline,39,19.33685895433623,17.78279410038923,1.5540648539470006,0.0026744109461776435,0.003162277660168379,19.154796845842707,1.1874962544849113
baseline,40,18.789767648908974,17.78279410038923,1.0069735485197455,0.002832416923201445,0.003162277660168379,18.078716814735305,2.285527839354447
baseline,41,17.80992118265752,17.78279410038923,0.02712708226829008,0.0031526517853388216,0.003162277660168379,17.052125819221466,1.5023628133103584
baseline,42,18.882329087441565,17.78279410038923,1.099534987052337,0.002804715891522094,0.003162277660168379,18.737964477470687,1.7174284513994742
baseline,43,18.344806234863018,17.78279410038923,0.5620121344737896,0.0029714863674628056,0.003162277660168379,18.196263137814604,1.8324110517796315
baseline,44,18.819064918543972,17.78279410038923,1.036270818154744,0.0028236048499155125,0.003162277660168379,18.568892418736795,1.5384905359459784
baseline,45,18.153841009612268,17.78279410038923,0.37104690922303973,0.0030343309354118864,0.003162277660168379,17.559689698593527,1.065014894699353
baseline,46,17.98075891779437,17.78279410038923,0.19796481740513983,0.003093028798984872,0.003162277660168379,18.04992796893323,1.106644419856066
baseline,47,17.505070532229414,17.78279410038923,-0.27772356815981425,0.0032634147342401987,0.003162277660168379,17.378720854955947,0.9437296248593641
baseline,48,17.400587741888224,17.78279410038923,-0.38220635850100493,0.0033027231037253404,0.003162277660168379,17.228889089028097,1.0736165154133763
baseline,49,17.69314087396217,17.78279410038923,-0.08965322642705686,0.003194406119701202,0.003162277660168379,17.6524302350065,1.5762484354748882
baseline,50,17.4307341221561,17.78279410038923,-0.35205997823312885,0.0032913088916606964,0.003162277660168379,16.473357477012378,1.086603641734873
baseline,51,15.99899347884294,17.78279410038923,-1.7838006215462876,0.003906741511787954,0.003162277660168379,16.162522334412945,1.911174673420975
baseline,52,17.53992948497505,17.78279410038923,-0.24286461541417736,0.0032504561670741758,0.003162277660168379,17.321865726258654,1.1569106725985088
baseline,53,18.288139507644537,17.78279410038923,0.5053454072553087,0.0029899294989971558,0.003162277660168379,18.088458282522115,0.6091445193773737
baseline,54,17.254662995970854,17.78279410038923,-0.5281311044183745,0.0033588223715133843,0.003162277660168379,17.664262845354134,0.935988977906621
baseline,55,17.409236994055966,17.78279410038923,-0.3735571063332621,0.0032994422030314156,0.003162277660168379,17.400353907516113,1.1122142282191934
baseline,56,19.11933039541114,17.78279410038923,1.3365362950219115,0.0027356129039687333,0.003162277660168379,18.928974772419533,1.9630718605661874
baseline,57,16.665298197682997,17.78279410038923,-1.1174959027062314,0.0036005912514197793,0.003162277660168379,16.80970743829652,1.2261478658312668
baseline,58,17.104132723001754,17.78279410038923,-0.6786613773874741,0.003418203261705774,0.003162277660168379,17.27181905740164,1.0572785910069873
baseline,59,17.24137465529234,17.78279410038923,-0.5414194450968886,0.0033640018165139378,0.003162277660168379,17.27224516555029,1.06858239500853
improved,0,82.64188275131927,80.09371380449181,2.5481689468274595,0.0001464197275870843,0.00015588457268119894,78.80462815669907,1.2777632917472415
improved,1,75.2126026960752,80.09371380449181,-4.8811111084166185,0.00017677415299490942,0.00015588457268119894,75.21622715341539,0.8916788646669909
improved,2,87.23619724401256,80.09371380449181,7.1424834395207455,0.00013140338363700393,0.00015588457268119894,78.80462815669907,1.4469121405263465
improved,3,74.5490337467628,80.09371380449181,-5.5446800577290105,0.00017993513017127035,0.00015588457268119894,73.45952404654429,0.717286073646425
improved,4,77.66765371205608,80.09371380449181,-2.4260600924357334,0.00016577522605058486,0.00015588457268119894,76.8120658581934,0.4057385761658938
improved,5,89.71641173621406,80.09371380449181,9.622697931722243,0.0001242385028507184,0.00015588457268119894,78.80462815669907,1.6717723629891765
improved,6,70.79930904579905,80.09371380449181,-9.294404758692764,0.00019949956884316147,0.00015588457268119894,70.85233777525207,0.643603670961143
improved,7,75.36457393670361,80.09371380449181,-4.729139867788206,0.00017606194830845827,0.00015588457268119894,75.48625071059375,0.8348333500836638
improved,8,88.27089648768896,80.09371380449181,8.177182683197145,0.00012834085414182352,0.00015588457268119894,78.80462815669907,1.1271140473265144
improved,9,89.71641173621406,80.09371380449181,9.622697931722243,0.0001242385028507184,0.00015588457268119894,78.80462815669907,1.3125932802722795
improved,10,89.71641173621406,80.09371380449181,9.622697931722243,0.0001242385028507184,0.00015588457268119894,78.80462815669907,1.7887289459407447
improved,11,79.5811813763701,80.09371380449181,-0.5125324281217161,0.00015789894785931655,0.00015588457268119894,78.17963542218692,0.5564956138198462
improved,12,89.71641173621406,80.09371380449181,9.622697931722243,0.0001242385028507184,0.00015588457268119894,78.80462815669907,1.1819253689047309
improved,13,79.10708598234561,80.09371380449181,-0.9866278221462039,0.00015979722237138033,0.00015588457268119894,77.57597742339246,0.9356961843057376
improved,14,87.74155632465082,80.09371380449181,7.647842520159003,0.00012989407244705782,0.00015588457268119894,78.80462815669907,0.5946042241476559
improved,15,76.67473717410876,80.09371380449181,-3.4189766303830567,0.0001700965119916985,0.00015588457268119894,75.62974132428765,1.2183037957105314
improved,16,73.15666886795653,80.09371380449181,-6.937044936535287,0.00018684959292143043,0.00015588457268119894,72.82739290290115,1.0883575740083236
improved,17,79.99592180727235,80.09371380449181,-0.09779199721945986,0.00015626593165856404,0.00015588457268119894,78.4046386305069,0.3743213736648042
improved,18,77.00007503302065,80.09371380449181,-3.093638771471163,0.00016866217761734212,0.00015588457268119894,76.05526189602737,0.6274838207202043
improved,19,70.95003818281086,80.09371380449181,-9.143675621680956,0.00019865281929293488,0.00015588457268119894,72.07411080968612,1.0315630639992763
improved,20,74.09147192896829,80.09371380449181,-6.002241875523524,0.0001821644196572257,0.00015588457268119894,71.27307197431985,0.5102402811500666
improved,21,89.71641173621406,80.09371380449181,9.622697931722243,0.0001242385028507184,0.00015588457268119894,78.80462815669907,1.651805039603191
improved,22,83.7766714879072,80.09371380449181,3.682957683415381,0.00014247996408318743,0.00015588457268119894,78.80462815669907,0.7693837263966674
improved,23,80.69515584120731,80.09371380449181,0.6014420367154969,0.00015356953550979354,0.00015588457268119894,78.80462815669907,0.6229309680763779
improved,24,69.85472934025468,80.09371380449181,-10.238984464237134,0.00020493133605573418,0.00015588457268119894,75.18557799269068,0.514547913239451
improved,25,88.84045979497661,80.09371380449181,8.746745990484797,0.0001267005221991103,0.00015588457268119894,78.80462815669907,1.4461979743805822
improved,26,89.71641173621406,80.09371380449181,9.622697931722243,0.0001242385028507184,0.00015588457268119894,78.80462815669907,1.3484832034994803
improved,27,76.58428736654855,80.09371380449181,-3.5094264379432616,0.00017049853393751683,0.00015588457268119894,75.65306977579783,0.7712567706290543
improved,28,70.60793196333054,80.09371380449181,-9.48578184116127,0.00020058248929684546,0.00015588457268119894,72.98375183433049,0.9735651488413507
improved,29,74.2976388982843,80.09371380449181,-5.796074906207508,0.00018115485381378627,0.00015588457268119894,72.20417805056117,0.5420071997276736
improved,30,81.59651098369137,80.09371380449181,1.5027971791995611,0.00015019546577496354,0.00015588457268119894,78.80462815669907,0.7206992959115012
improved,31,84.91074207865817,80.09371380449181,4.817028274166361,0.00013869944624352542,0.00015588457268119894,78.80462815669907,1.133283790013326
improved,32,82.85253188488552,80.09371380449181,2.7588180803937092,0.00014567614186225634,0.00015588457268119894,78.80462815669907,0.7793047862055654
improved,33,68.99891739406505,80.09371380449181,-11.094796410426767,0.00021004649876511463,0.00015588457268119894,74.96741763284454,0.8896601671146318
improved,34,70.43131769492821,80.09371380449181,-9.662396109563602,0.00020158971584654508,0.00015588457268119894,72.23265881753527,1.2948327394586572
improved,35,75.60799959237379,80.09371380449181,-4.485714212118026,0.0001749300838718199,0.00015588457268119894,74.96184701478968,0.22666935153876655
improved,36,75.08635200885163,80.09371380449181,-5.007361795640179,0.00017736911121030833,0.00015588457268119894,74.80840236827872,0.391296088021433
improved,37,78.36607833932692,80.09371380449181,-1.7276354651648944,0.00016283350531545035,0.00015588457268119894,76.85608375980668,0.8956704201044947
improved,38,81.84016972255864,80.09371380449181,1.7464559180668289,0.00014930245786686443,0.00015588457268119894,78.80462815669907,0.937595891802739
improved,39,89.71641173621406,80.09371380449181,9.622697931722243,0.0001242385028507184,0.00015588457268119894,78.80462815669907,1.7991345582395546
improved,40,84.90767206662645,80.09371380449181,4.8139582621346335,0.00013870947635403013,0.00015588457268119894,78.80462815669907,0.8829422687137636
improved,41,76.56785260085708,80.09371380449181,-3.525861203634733,0.00017057173448022447,0.00015588457268119894,74.68451683649118,1.2488071176584457
improved,42,89.71641173621406,80.09371380449181,9.622697931722243,0.0001242385028507184,0.00015588457268119894,78.80462815669907,1.3877898774054862
improved,43,83.8687110974671,80.09371380449181,3.7749972929752857,0.00014216741356494223,0.00015588457268119894,78.80462815669907,1.1287577224785614
improved,44,85.13710685152937,80.09371380449181,5.043393047037554,0.0001379628713078071,0.00015588457268119894,78.80462815669907,0.834589498694042
improved,45,81.7868677083905,80.09371380449181,1.6931539038986898,0.00014949712762681882,0.00015588457268119894,78.80462815669907,1.098092641786979
improved,46,82.98235226461772,80.09371380449181,2.888638460125904,0.00014522069709685056,0.00015588457268119894,78.80462815669907,1.0164464819289305
improved,47,84.22186185123968,80.09371380449181,4.128148046747867,0.00014097766858322717,0.00015588457268119894,78.80462815669907,1.6176522052252509
improved,48,78.16052464782177,80.09371380449181,-1.9331891566700392,0.00016369110039567294,0.00015588457268119894,76.88389789009325,1.5830783532626906
improved,49,74.62828537983891,80.09371380449181,-5.465428424652899,0.0001795531682638081,0.00015588457268119894,75.98047669180706,0.6545841307301103
improved,50,73.33998002329162,80.09371380449181,-6.7537337812001965,0.00018591670994867616,0.00015588457268119894,72.45455808931256,0.8020865512193583
improved,51,81.87216272815046,80.09371380449181,1.7784489236586438,0.00014918579547679685,0.00015588457268119894,78.80462815669907,0.5192839920110153
improved,52,76.65035274215286,80.09371380449181,-3.4433610623389512,0.00017020475328269972,0.00015588457268119894,74.37572715422219,0.07773931280875074
improved,53,80.74971033127967,80.09371380449181,0.6559965267878596,0.0001533621025020578,0.00015588457268119894,78.80462815669907,0.9677206098797299
improved,54,77.29736216906629,80.09371380449181,-2.7963516354255233,0.00016736731651131588,0.00015588457268119894,76.88873136051768,0.1602723924328765
improved,55,89.71641173621406,80.09371380449181,9.622697931722243,0.0001242385028507184,0.00015588457268119894,78.80462815669907,1.4779966458386384
improved,56,82.76541180919662,80.09371380449181,2.6716980047048082,0.00014598298492047752,0.00015588457268119894,78.80462815669907,0.47732612695479437
improved,57,85.36126847508073,80.09371380449181,5.267554670588922,0.00013723923222817893,0.00015588457268119894,78.80462815669907,0.5268615276202825
improved,58,78.49531267905543,80.09371380449181,-1.5984011254363821,0.00016229776995200888,0.00015588457268119894,76.95628809038055,0.2945362931271265
improved,59,87.01802834745655,80.09371380449181,6.924314542964737,0.00013206311058510368,0.00015588457268119894,78.80462815669907,1.0791607954374063
