pipeline,y_eval,y_hat_kernel,y_hat_binned_median,stderr_kernel,stderr_binned_median,gamma
baseline,0.10000000000000002,0.11297626092860497,0.10805587074070357,0.0008177474437345718,0.0007752143608411323,4.366710744815838
baseline,0.12689610031679222,0.12996556344193388,0.12456417107528966,0.0010965094050918525,0.0012513836579835815,3.24638203018413
baseline,0.16102620275609397,0.1639105366098541,0.161716428532387,0.001349443941639192,0.0016376898482247451,1.0339647695450405
baseline,0.20433597178569424,0.20440592804964236,0.20085827588077876,0.0017430203970604345,0.0017690085273146818,1.4285191168896678
baseline,0.25929437974046676,0.26304009431522796,0.25953091873989226,0.002370905400107453,0.002584067260209676,1.0006387793635605
baseline,0.32903445623126687,0.3337059979599764,0.3309915055911724,0.0027779907999037835,0.00345341945185566,0.6124645712957563
baseline,0.41753189365604015,0.4209438722368489,0.4117696150761724,0.003733357847517214,0.0046606229267643065,1.5363285294873954
baseline,0.529831690628371,0.536481197424123,0.5336662029269965,0.0045911742960067095,0.005173852000060751,0.4069559036638512
baseline,0.6723357536499337,0.6857527227448722,0.6754542924939846,0.006009836806282866,0.007584869693696177,1.064194185921599
baseline,0.8531678524172811,0.8653132980430133,0.8509543591641913,0.006849948830440773,0.008313169850251531,1.3330182428788935
baseline,1.0826367338740546,1.0887730635978436,1.0700128909585893,0.009265018466111453,0.011957704182798823,1.2401749468295844
baseline,1.3738237958832626,1.396303347575184,1.3564312611484464,0.011677055558928713,0.015575283850698953,2.04824528552246
baseline,1.743328822199988,1.7575595653250058,1.7105580650808472,0.014479619538605604,0.01644298653916104,2.145245466803534
baseline,2.2122162910704497,2.2260703965940283,2.1902831721843476,0.01814957700913728,0.022039632573735493,1.2534544918369193
baseline,2.807216203941177,2.789772762839481,2.7791274175398315,0.024362506451095597,0.02787506318885552,0.2875492065135848
baseline,3.5622478902624417,3.5743151239041415,3.5704215438838256,0.03324674430389012,0.043121197667453495,0.07150766516659779
baseline,4.520353656360243,4.546585766701991,4.430825111975468,0.04389454990324585,0.053824089564145576,1.666740324175304
baseline,5.73615251044868,5.845290832822293,5.691445718848192,0.05534030432404868,0.06395885025663399,1.8189927990394723
baseline,7.278953843983154,7.366452033695331,7.247797473343933,0.0670930162197805,0.07512222719406278,1.178045927188362
baseline,9.236708571873859,9.406430651288144,9.22496502925415,0.08869627764463936,0.10093884550570631,1.350477754535999
baseline,11.721022975334801,11.924313990392998,11.724954379877063,0.10909352857370654,0.11774435664683024,1.2419982812597414
baseline,14.873521072935116,15.017452219487328,14.727665667693328,0.14548680513325188,0.19838836513658448,1.1779128137087245
baseline,18.873918221350962,18.861548771912933,18.45234251349162,0.1999784044422056,0.21330189129922705,1.3995454241975285
baseline,23.950266199874847,24.064421677860615,23.642249219877478,0.2827842475541378,0.3310536080789784,0.9696446977220036
baseline,30.39195382313197,30.811221722917036,29.632076584163684,0.4116341465219686,0.5360709212019119,1.7446054626622436
baseline,38.56620421163472,39.81858372891662,39.541810969219995,0.5479106323339568,0.6667232805834074,0.3207192943870301
baseline,48.939009184774946,49.799001700702476,48.39273936685524,0.7834262920481486,1.1510995374265816,1.009953331679919
baseline,62.101694189156156,62.62913820891169,61.04671138420703,1.1439964488600247,1.7315364365584869,0.7624983487950919
baseline,78.80462815669907,78.66946906949629,80.84621512505758,1.6669406541651202,2.1223326483547544,0.8065903063783912
baseline,100.00000000000004,88.69566391694279,87.5490220240736,2.775717557499782,4.634016753617201,0.21227296799719153
