u,observed_q,epsilon_floor,residue
-1.8,1.0000000000088236,1.0,2.800000000008824
-1.78,1.0000000000104239,1.0,2.780000000010424
-1.76,1.0000000000123141,1.0,2.7600000000123144
-1.74,1.0000000000145475,1.0,2.7400000000145477
-1.72,1.000000000017186,1.0,2.720000000017186
-1.7,1.0000000000203029,1.0,2.700000000020303
-1.68,1.0000000000239848,1.0,2.680000000023985
-1.66,1.000000000028335,1.0,2.660000000028335
-1.64,1.0000000000334737,1.0,2.6400000000334733
-1.62,1.0000000000395444,1.0,2.6200000000395445
-1.6,1.0000000000467162,1.0,2.600000000046716
-1.58,1.0000000000551887,1.0,2.580000000055189
-1.56,1.0000000000651976,1.0,2.5600000000651977
-1.54,1.000000000077022,1.0,2.540000000077022
-1.52,1.0000000000909908,1.0,2.520000000090991
-1.5,1.000000000107493,1.0,2.5000000001074927
-1.48,1.0000000001269878,1.0,2.4800000001269877
-1.46,1.0000000001500184,1.0,2.4600000001500186
-1.44,1.0000000001772258,1.0,2.4400000001772257
-1.42,1.0000000002093674,1.0,2.4200000002093676
-1.4,1.0000000002473384,1.0,2.4000000002473385
-1.38,1.0000000002921958,1.0,2.3800000002921955
-1.36,1.0000000003451885,1.0,2.3600000003451886
-1.34,1.0000000004077922,1.0,2.3400000004077923
-1.32,1.0000000004817495,1.0,2.3200000004817496
-1.3,1.0000000005691199,1.0,2.3000000005691197
-1.28,1.0000000006723355,1.0,2.2800000006723353
-1.26,1.0000000007942706,1.0,2.2600000007942707
-1.24,1.0000000009383199,1.0,2.24000000093832
-1.22,1.000000001108494,1.0,2.220000001108494
-1.2,1.000000001309531,1.0,2.200000001309531
-1.18,1.0000000015470278,1.0,2.180000001547028
-1.16,1.0000000018275976,1.0,2.1600000018275978
-1.14,1.0000000021590514,1.0,2.1400000021590513
-1.12,1.000000002550618,1.0,2.120000002550618
-1.1,1.000000003013199,1.0,2.100000003013199
-1.08,1.000000003559674,1.0,2.080000003559674
-1.06,1.000000004205258,1.0,2.060000004205258
-1.04,1.0000000049679252,1.0,2.040000004967925
-1.02,1.00000000586891,1.0,2.0200000058689103
-1.0,1.000000006933298,1.0,2.000000006933298
-0.98,1.0000000081907239,1.0,1.9800000081907239
-0.96,1.0000000096761967,1.0,1.9600000096761967
-0.94,1.0000000114310756,1.0,1.9400000114310756
-0.9199999999999999,1.0000000135042202,1.0,1.9200000135042201
-0.8999999999999999,1.000000015953351,1.0,1.900000015953351
-0.8799999999999999,1.0000000188466571,1.0,1.880000018846657
-0.8599999999999999,1.0000000222646943,1.0,1.8600000222646942
-0.8399999999999999,1.000000026302628,1.0,1.840000026302628
-0.8199999999999998,1.000000031072883,1.0,1.8200000310728828
-0.7999999999999998,1.0000000367082729,1.0,1.8000000367082727
-0.7799999999999998,1.0000000433656993,1.0,1.780000043365699
-0.7599999999999998,1.0000000512305185,1.0,1.7600000512305183
-0.7400000000000002,1.0000000605217043,1.0,1.7400000605217045
-0.7200000000000002,1.0000000714979422,1.0,1.7200000714979424
-0.7000000000000002,1.000000084464834,1.0,1.7000000844648342
-0.6800000000000002,1.0000000997834049,1.0,1.680000099783405
-0.6600000000000001,1.0000001178801554,1.0,1.6600001178801556
-0.6400000000000001,1.0000001392589366,1.0,1.6400001392589367
-0.6200000000000001,1.0000001645149776,1.0,1.6200001645149777
-0.6000000000000001,1.0000001943514576,1.0,1.6000001943514577
-0.5800000000000001,1.0000002295990846,1.0,1.5800002295990847
-0.56,1.0000002712392222,1.0,1.5600002712392222
-0.54,1.000000320431214,1.0,1.540000320431214
-0.52,1.0000003785446596,1.0,1.5200003785446596
-0.5,1.0000004471975474,1.0,1.5000004471975474
-0.48,1.0000005283013007,1.0,1.4800005283013007
-0.45999999999999996,1.0000006241139936,1.0,1.4600006241139936
-0.43999999999999995,1.0000007373032174,1.0,1.4400007373032173
-0.41999999999999993,1.0000008710203478,1.0,1.4200008710203478
-0.3999999999999999,1.0000010289882806,1.0,1.4000010289882805
-0.3799999999999999,1.0000012156050748,1.0,1.3800012156050747
-0.3599999999999999,1.0000014360663938,1.0,1.3600014360663937
