name,mass_kg,radius_m,schwarzschild_radius_m,compactness,radius_over_schwarzschild_radius,bekenstein_bound_bits,bh_entropy_bits_same_mass,entropy_ratio
Earth,5.9722e+24,6371000.0,0.0088701028718461,1.3922622621010988e-09,718255480.4659249,9.804848728993056e+74,1.3650920870986958e+66,718255480.4659246
Sun,1.98847e+30,695700000.0,2953.3393820668784,4.245133508792408e-06,235563.8516265334,3.564839619937251e+82,1.5133220124066416e+77,235563.8516265334
Canonical 0.6 Msun white dwarf,1.193082e+30,8348400.0,1772.003629240127,0.0002122566754396204,4711.277032530668,2.5666845263548205e+80,5.44795924466391e+76,4711.277032530668
Canonical 1.4 Msun neutron star,2.783858e+30,12000.0,4134.67513489363,0.3445562612411358,2.9022836398266914,8.608495848058906e+77,2.966111144317017e+77,2.9022836398266914
1 Msun Schwarzschild boundary,1.98847e+30,2953.3393820668784,2953.3393820668784,1.0,1.0,1.5133220124066416e+77,1.5133220124066416e+77,1.0
